Time, Heater, Temperature
4030.133772,35,50.515
4031.117823,35,50.547
4032.12521,35,50.482
4033.109184,35,50.547
4034.116618,35,50.547
4035.100975,35,50.547
4036.108455,35,50.547
4037.092615,35,50.547
4038.100253,35,50.547
4039.084413,35,50.547
4040.092058,35,50.547
4041.076226,35,50.515
4042.083867,35,50.354
4043.067655,35,50.547
4044.075716,35,50.386
4045.059427,35,50.547
4046.067501,35,50.547
4047.051031,35,50.45
4048.059062,35,50.515
4049.04281,35,50.547
4050.050829,35,50.547
4051.034588,35,50.547
4052.042407,35,50.547
4053.026399,35,50.547
4054.034214,35,50.547
4055.018146,35,50.547
4056.026034,35,50.547
4057.009817,35,50.547
4058.017476,35,50.547
4059.001602,35,50.611
4060.009189,35,50.611
4060.993096,35,50.676
4062.000993,35,50.579
4062.984862,35,50.611
4063.992606,35,50.547
4064.976693,35,50.579
4065.984381,35,50.644
4066.968438,35,50.708
4067.976223,35,50.772
4068.960252,35,50.869
4069.968054,35,50.837
4070.952034,35,50.869
4071.959818,35,50.869
4072.943752,35,50.869
4073.951654,35,50.966
4074.935526,35,51.095
4075.943466,35,50.901
4076.927343,35,51.095
4077.935269,35,51.095
4078.919147,35,51.127
4079.927061,35,50.934
4080.910958,35,50.966
4081.918892,35,50.934
4082.902729,35,51.03
4083.910629,35,51.127
4084.894344,35,51.127
4085.90238,35,51.191
4086.886153,35,51.159
4087.894012,35,51.03
4088.87776,35,50.966
4089.885847,35,50.998
4090.869544,35,51.191
4091.877653,35,51.191
4092.861287,35,51.191
4093.869522,35,51.191
4094.853116,35,51.191
4095.861369,35,51.191
4096.84491,47,51.191
4097.85323,47,50.934
4098.836708,47,50.869
4099.845081,47,50.869
4100.828535,47,50.869
4101.836903,47,50.644
4102.820369,47,50.708
4103.828584,47,50.579
4104.812193,47,50.644
4105.820409,47,50.611
4106.804005,47,50.708
4107.812243,47,50.644
4108.795827,47,50.547
4109.804132,47,50.547
4110.787649,47,50.547
4111.795747,47,50.547
4112.779409,47,50.547
4113.787142,47,50.547
4114.771212,47,50.869
4115.778968,47,50.869
4116.762993,47,50.869
4117.770816,47,50.869
4118.754812,47,50.869
4119.762643,47,50.869
4120.746582,47,51.03
4121.754502,47,51.191
4122.738425,47,51.191
4123.746277,47,51.191
4124.730263,47,51.159
4125.73811,47,50.998
4126.721954,47,51.095
4127.729967,47,51.191
4128.713654,47,51.191
4129.721825,47,51.191
4130.705462,47,51.353
4131.713648,47,51.481
4132.697155,47,51.514
4133.70551,47,51.514
4134.689002,47,51.514
4135.697315,47,51.514
4136.680814,47,51.739
4137.689162,47,51.836
4138.67259,47,51.836
4139.680612,47,51.836
4140.66441,47,51.836
4141.672469,47,51.836
4142.656226,47,51.836
4143.664324,47,51.836
4144.647925,47,51.836
4145.656155,47,51.836
4146.639745,47,51.997
4147.64799,47,51.965
4148.631563,47,52.158
4149.639788,47,52.158
4150.62337,47,52.158
4151.631643,47,52.158
4152.615173,47,52.19
4153.62348,47,52.223
4154.606983,47,52.416
4155.615345,47,52.48
4156.598824,47,52.48
4157.607199,47,52.48
4158.590622,47,52.48
4159.598989,47,52.48
4160.582465,47,52.48
4161.59081,47,52.48
4162.574267,47,52.48
4163.582669,47,52.48
4164.565933,47,52.513
4165.574491,47,52.513
4166.557743,47,52.545
4167.566269,47,52.545
4168.549554,47,52.642
4169.558096,47,52.738
4170.541398,47,52.803
4171.549963,47,52.803
4172.533246,47,52.803
4173.541474,47,53.028
4174.524861,47,53.125
4175.53334,47,53.093
4176.516456,47,53.028
4177.525203,47,53.028
4178.507673,47,53.125
4179.517076,47,53.125
4180.499469,47,53.125
4181.508728,47,53.125
4182.491316,47,53.125
4183.500528,47,53.125
4184.48312,47,53.125
4185.492384,47,53.125
4186.474956,47,53.189
4187.484228,47,53.157
4188.466725,47,53.351
4189.475704,47,53.189
4190.458525,47,53.222
4191.46753,47,53.125
4192.450215,47,53.254
4193.45938,47,53.286
4194.442049,47,53.189
4195.450894,47,53.254
4196.43387,47,53.254
4197.44272,47,53.286
4198.425707,47,53.447
4199.434566,47,53.447
4200.417536,47,53.447
4201.426431,47,53.641
4202.409339,47,53.673
4203.418292,47,53.608
4204.400899,47,53.705
4205.410012,47,53.447
4206.392708,47,53.544
4207.401809,47,53.737
4208.384511,47,53.77
4209.393443,47,53.77
4210.376375,47,53.77
4211.385327,47,53.77
4212.368169,47,53.77
4213.3772,47,53.77
4214.359532,47,53.77
4215.368609,47,53.834
4216.351305,47,54.027
4217.360431,44,53.963
4218.343143,44,54.027
4219.352329,44,54.092
4220.334559,44,54.06
4221.344172,44,54.06
4222.326391,44,54.027
4223.336049,44,53.834
4224.317758,44,53.995
4225.327884,44,54.092
4226.309556,44,54.092
4227.319746,44,54.221
4228.301356,44,54.414
4229.311568,44,54.414
4230.292785,44,54.414
4231.303402,44,54.414
4232.284623,44,54.543
4233.295225,44,54.672
4234.276046,44,54.736
4235.287091,44,54.704
4236.267824,44,54.511
4237.278942,44,54.414
4238.259573,44,54.414
4239.270778,44,54.446
4240.251346,44,54.414
4241.262642,44,54.414
4242.243165,44,54.414
4243.254503,44,54.414
4244.234956,44,54.414
4245.246207,44,54.414
4246.226187,44,54.446
4247.238069,44,54.479
4248.217621,44,54.607
4249.229538,44,54.704
4250.209121,44,54.736
4251.221362,44,54.736
4252.200923,44,54.736
4253.213189,44,54.736
4254.192731,44,54.736
4255.205033,44,54.736
4256.184528,44,55.026
4257.196883,44,55.026
4258.176345,44,55.059
4259.188755,44,55.059
4260.168142,44,55.059
4261.180583,44,55.059
4262.159958,44,55.059
4263.17245,44,55.059
4264.151765,44,55.059
4265.164287,44,55.059
4266.143589,44,55.059
4267.156153,44,55.059
4268.135423,44,55.059
4269.147991,44,55.059
4270.127223,44,55.059
4271.139856,44,55.059
4272.119051,44,55.123
4273.131731,44,55.188
4274.110794,44,55.316
4275.123598,44,55.349
4276.102679,44,55.316
4277.11517,44,55.349
4278.094517,44,55.381
4279.106991,44,55.381
4280.08633,44,55.381
4281.098828,44,55.381
4282.078148,44,55.381
4283.09068,44,55.349
4284.069937,44,55.123
4285.082471,44,55.059
4286.061736,44,55.059
4287.074229,44,55.059
4288.05354,44,55.059
4289.066083,44,55.091
4290.045337,44,55.123
4291.057934,44,55.349
4292.037107,44,55.381
4293.049734,44,55.381
4294.028696,44,55.413
4295.041335,44,55.51
4296.020533,44,55.542
4297.033196,44,55.574
4298.012351,44,55.413
4299.025027,44,55.381
4300.004197,44,55.381
4301.016896,44,55.413
4301.996019,44,55.413
4303.008247,44,55.381
4303.987818,44,55.445
4304.999706,44,55.574
4305.979645,44,55.542
4306.991543,44,55.606
4307.971432,44,55.381
4308.983402,44,55.381
4309.963269,44,55.381
4310.975263,44,55.381
4311.955037,44,55.091
4312.967123,44,55.091
4313.94687,44,55.059
4314.958986,44,55.123
4315.938678,44,55.059
4316.950815,44,55.091
4317.930506,44,55.059
4318.942657,44,55.059
4319.922296,44,55.059
4320.93449,44,55.059
4321.914092,44,55.123
4322.926349,44,55.252
4323.905883,44,55.22
4324.918185,44,55.316
4325.897374,44,55.381
4326.91001,44,55.381
4327.888797,44,55.381
4328.901758,44,55.381
4329.880579,44,55.381
4330.893388,44,55.413
4331.87241,44,55.413
4332.88524,44,55.574
4333.864215,44,55.445
4334.877106,44,55.413
4335.856006,44,55.381
4336.868964,44,55.381
4337.847836,36,55.381
4338.86084,36,55.349
4339.839628,36,55.123
4340.852647,36,55.188
4341.831451,36,55.155
4342.844508,36,55.059
4343.823249,36,55.091
4344.836342,36,55.059
4345.815018,36,55.059
4346.828216,36,55.059
4347.806846,36,55.059
4348.82005,36,55.059
4349.798608,36,55.059
4350.811856,36,55.026
4351.790397,36,54.962
